Incident energy;
Incident energy;
Incident energy;σ(E)
6.748439;1975.389
6.75369;1660.807
6.758941;1391.621
6.763477;1193.106
6.768012;1023.332
6.772547;879.2718
6.777082;757.8589
6.781617;656.0834
6.786152;571.1016
6.790687;500.3076
6.795222;441.3741
6.799757;392.2676
6.804292;351.2447
6.808827;316.8355
6.813362;287.8176
6.817897;263.1873
6.822432;242.1281
6.826967;223.9813
6.831502;208.2187
6.839618;184.6833
6.847733;165.6929
6.855849;150.0414
6.863964;136.9161
6.87208;125.7457
6.880195;116.1274
6.88831;107.7619
6.896425;100.4248
6.912656;88.18127
6.928886;78.40535
6.945117;70.45037
6.961347;63.87765
6.974714;59.27937
6.98808;55.27695
7.001447;51.76862
7.014813;48.6748
7.041546;43.48546
7.068279;39.32624
7.095012;35.93458
7.121745;33.12406
7.148478;30.76297
7.17521;28.75847
7.198124;27.27151
7.221038;25.96173
7.243952;24.80145
7.266866;23.76812
7.312694;22.01195
7.358522;20.58117
7.40435;19.3981
7.450178;18.40891
7.496006;17.57406
7.541833;16.85837
7.599118;16.1078
7.656403;15.50969
7.67529;15.32493
7.739955;14.6932
7.80462;14.17361
7.869285;13.74452
7.93395;13.37438
7.998615;13.05154
8.06328;12.76762
8.127945;12.51614
8.19261;12.29195
8.264905;12.06858
8.355275;11.82331
8.445645;11.61185
8.536015;11.4226
8.626384;11.25473
8.716754;11.10338
8.807123;10.96811
8.987862;10.73335
9.168601;10.53737
9.34934;10.37061
9.530079;10.22677
9.710818;10.10283
9.819262;10.03849
9.927705;9.985207
9.963853;9.972644
10.0;9.965266
10.02141;9.965414
10.04281;9.972151
10.05352;9.979893
10.06422;9.99253
10.07492;10.01271
10.08562;10.04458
10.09142;10.06884
10.09722;10.09962
10.10302;10.13848
10.10881;10.18711
10.11461;10.24776
10.12041;10.3226
10.12621;10.41405
10.132;10.52438
10.1378;10.65632
10.1436;10.81185
10.1494;10.99261
10.15519;11.1992
10.16099;11.43237
10.16678;11.69023
10.17837;12.27057
10.19443;13.14921
10.20246;13.57579
10.21048;13.9604
10.22009;14.33146
10.2297;14.56937
10.2395;14.64847
10.24926;14.5541
10.25902;14.29717
10.27135;13.78452
10.28367;13.13976
10.29806;12.33927
10.30525;11.95719
10.31244;11.60256
10.31963;11.28275
10.32682;11.00179
10.33401;10.76077
10.3412;10.5584
10.34583;10.44721
10.35045;10.34998
10.35507;10.26531
10.35969;10.19199
10.36431;10.12879
10.36893;10.07452
10.37355;10.02806
10.37817;9.988337
10.38742;9.925327
10.39666;9.879118
10.4059;9.844667
10.41514;9.818353
10.43466;9.779074
10.45417;9.751883
10.4932;9.713234
10.53223;9.684144
10.57125;9.659654
10.64931;9.617803
10.72736;9.581027
10.88347;9.514872
11.03958;9.457795
11.10531;9.440124
11.13818;9.438396
11.15461;9.443485
11.17104;9.457373
11.18337;9.477475
11.19569;9.509975
11.20186;9.532237
11.20802;9.559144
11.21418;9.591179
11.22034;9.628685
11.23267;9.72071
11.24499;9.833684
11.26964;10.09333
11.283;10.2226
11.29635;10.31729
11.30503;10.3518
11.3137;10.36123
11.32335;10.34117
11.333;10.29064
11.347;10.17314
11.36099;10.02309
11.38398;9.767254
11.39548;9.65615
11.40697;9.5635
11.41847;9.490076
11.42996;9.434449
11.44146;9.393578
11.45295;9.364169
11.46695;9.33927
11.48094;9.322198
11.50893;9.300156
11.56491;9.272402
11.67686;9.229911
11.90077;9.155449
12.34858;9.015889
12.89236;8.854112
13.43613;8.694562
13.97991;8.532796
14.52368;8.365082
14.79557;8.278123
15.06746;8.187851
15.33935;8.095207
15.61123;7.998848
15.88312;7.89775
16.15501;7.791894
16.4269;7.680781
16.69878;7.563961
16.95468;7.448489
17.21057;7.327574
17.46647;7.201455
17.72236;7.071041
17.97826;6.93831
18.10621;6.872259
18.23415;6.807481
18.3621;6.745196
18.49004;6.687123
18.61799;6.635678
18.74593;6.594345
18.8379;6.573625
18.92986;6.563319
19.02182;6.566955
19.11378;6.589594
19.20574;6.638263
19.2977;6.733642
19.34368;6.844117
19.36667;6.948505
