0,175,0,200,0,214,0,179,2,2613
1,475,1,480,1,480,1,1242,3,5640
2,1785,2,1793,2,1898,2,2997,4,32280
3,5940,3,6000,3,6420,3,16080,,
4,15600,4,10852,4,33300,,,,
