160,-537.3686202733,160,0.000013,155,3.6692853200293E-06,155,0,20,-537.3594765248,20,0.000011,25,0.0078767438,25,0.000007
150,-537.3686166041,150,0.000013,145,4.44736087956699E-06,145,0.000007,30,-537.3673532687,30,0.000004,35,0.0012670046,35,0.000009
140,-537.3686121567,140,0.000006,135,1.81338376705753E-05,135,0.000006,40,-537.3686202733,40,0.000013,45,0.0001455597,45,0.000001
130,-537.3685940229,130,0.000012,125,3.23135209328029E-05,125,0.00001,50,-537.368765833,50,0.000012,55,8.28544186788349E-05,55,0.000005
120,-537.3685617093,120,0.000002,115,7.57241843984957E-06,115,0.000016,60,-537.3688486874,60,0.000017,65,6.44484670146994E-05,65,0.000005
110,-537.3685541369,110,0.000018,105,2.53320996534967E-05,105,0.000016,70,-537.3689131359,70,0.000012,75,0.000017832,75,0.000003
100,-537.368579469,100,0.000002,95,4.29174579039682E-05,95,0.000003,80,-537.3689309678,80,0.000015,,,,
90,-537.3685365516,90,0.000005,85,0.0001085734,85,0.000004,,,,,,,,
80,-537.3684279781,80,0.000009,,,,,,,,,,,,
