0.0123083 9.19411E-5 1.23789497E-14 
0.123083 2.90744E-4 3.914577216E-14 
1.23083 9.19411E-4 1.23789497E-13 
12.3083 0.00290741 3.914536824E-13 
123.083 0.0091932 1.237772448E-12 
1230.83 0.0290453 3.910659192E-12 
2461.67 0.0410352 5.524979328E-12 
3692.5 0.0502074 6.759924336E-12 
4923.33 0.0579166 7.797891024E-12 
6154.16 0.0646879 8.709578856E-12 
9231.25 0.0790284 1.064038378E-11 
12308.3 0.0910263 1.225578103E-11 
18462.5 0.110928 1.493534592E-11 
36925.0 0.154541 2.080740024E-11 
61541.7 0.19556 2.63301984E-11 
123083.0 0.263075 3.5420418E-11 
246167.0 0.33664 4.53252096E-11 
369250.0 0.373063 5.022920232E-11 
492334.0 0.389783 5.248038312E-11 
615417.0 0.394319 5.309111016E-11 
738500.0 0.390849 5.262390936E-11 
861584.0 0.381991 5.143126824E-11 
984667.0 0.369504 4.975001856E-11 
1107750.0 0.354622 4.774630608E-11 
1230830.0 0.338233 4.553969112E-11 
1538540.0 0.294508 3.965255712E-11 
1846250.0 0.251255 3.38289732E-11 
2153960.0 0.211356 2.845697184E-11 
2461670.0 0.175969 2.369246616E-11 
3077090.0 0.119328 1.606632192E-11 
3692500.0 0.0792842 1.067482469E-11 
4923340.0 0.0336793 4.534580952E-12 
6154170.0 0.0138524 1.865087136E-12 
7385000.0 0.00558236 7.516089504E-13 
8615840.0 0.00221818 2.986557552E-13 
1.23083E7 1.31997E-4 1.777207608E-14 
1.84625E7 1.08927E-6 1.466593128E-16 
2.46167E7 8.47491E-9 1.141061882E-18 
